Bold Summand,Fermat Summand,m,Structure,Generators
,1+2+8,3855,Z2 x Z4 x Z256,"< 3854, 1027, 7 >"
0,1+2+8,7710,Z2 x Z4 x Z256,"< 7709, 1027, 7 >"
1,2+8,5140,Z2 x Z4 x Z256,"< 2571, 1543, 3 >"
2,1+8,6168,(Z2)^3 x Z256,"< 1541, 1027, 515, 5 >"
3,8,4112,Z2 x Z4 x Z256,"< 1543, 515, 3 >"
4,1+2+4,8160,(Z2)^2 x Z4 x Z8 x Z16,"< 271, 239, 47, 13, 7 >"
5,2+4,5440,Z2 x Z4 x (Z16)^2,"< 511, 33, 13, 3 >"
6,1+4,6528,(Z2)^2 x Z16 x Z32,"< 2177, 511, 7, 5 >"
7,4,4352,Z2 x Z16 x Z64,"< 511, 65, 3 >"
8,1+2,7680,(Z2)^2 x Z4 x Z128 ,"< 2561, 511, 127, 11 >"
9,2,5120,Z2 x Z4 x Z256,"< 513, 511, 3 >"
10,1,6144,(Z2)^2 x Z512,"< 2047, 1025, 5 >"
11,,4096,Z2 x Z1024,"< 2047, 3 >"
