Bold Summand,Fermat Summand,m,Structure
,1+2+4+8+16,"4,294,967,295","Z2 x Z4 x Z16 x Z256 x Z65,536"
0,1+2+4+8+16,"8,589,934,590","Z2 x Z4 x Z16 x Z256 x Z65,536"
1,2+4+8+16,"5,726,623,060","Z2 x Z4 x Z16 x Z256 x Z65,536"
2,1+4+8+16,"6,871,947,672","(Z2)^3 x Z16 x Z256 x Z65,536 "
3,4+8+16,"4,581,298,448","Z2 x Z4 x Z16 x Z256 x Z65,536"
4,1+2+8+16,"8,084,644,320","(Z2)^2 x Z4 x Z8 x Z256 x Z65,536 "
5,2+8+16,"5,389,762,880","Z2 x Z4 x Z16 x Z256 x Z65,536"
6,1+8+16,"6,467,715,456","(Z2)^2 x Z32 x Z256 x Z65,536 "
7,8+16,"4,311,810,304","Z2 x Z64 x Z256 x Z65,536 "
8,1+2+4+16,"8,556,510,720","(Z2)^2 x Z4 x Z16 x Z128 x Z65,536 "
9,2+4+16,"5,704,340,480","Z2 x Z4 x Z16 x Z256 x Z65,536"
10,1+4+16,"6,845,208,576"," (Z2)^2 x Z16 x Z512 x Z65,536 "
11,4+16,"4,563,472,384","Z2 x Z16 x Z1024 x Z65,536 "
12,1+2+16,"8,053,186,560","(Z2)^2 x  Z4 x Z2048 x Z65,536"
13,2+16,"5,368,791,040","Z2 x Z4 x Z4096 x Z65,536 "
14,1+16,"6,442,549,248","(Z2)^2 x Z8192 x Z65,536"
15,16,"4,295,032,832","Z2 x Z16,384 x Z65,536 "
16,1+2+4+8,"8,589,803,520","(Z2)^2 x Z4 x Z16 x Z256 x Z32,768"
17,2+4+8,"5,726,535,680","Z2 x Z4 x Z16 x Z256 x Z65,536"
18,1+4+8,"6,871,842,816","(Z2)^2 x Z16 x Z256 x Z131,072"
19,4+8,"4,581,228,544","Z2 x Z16 x Z256 x Z262,144"
20,1+2+8,"8,084,520,960","(Z2)^2 x Z4 x Z256 x Z524,288"
21,2+8,"5,389,680,640","Z2 x Z4 x Z256 x Z1,048,576"
22,1+8,"6,467,616,768","(Z2)^2 x Z256 x Z2,097,152 "
23,8,"4,311,744,512","Z2 x Z256 x Z4,194,304"
24,1+2+4,"8,556,380,160","(Z2)^2 x Z4 x Z16 x Z8,388,608"
25,2+4,"5,704,253,440","Z2 x Z4 x Z16 x Z16,777,216"
26,1+4,"6,845,104,128","(Z2)^2 x Z16 x Z33,554,432"
27,4,"4,563,402,864","Z2 x Z16 x Z67,108,864"
28,1+2,"8,053,063,680","(Z2)^2 x Z4 x Z134,217,728"
29,2,"5,368,709,120","Z2 x Z4 x Z268,435,456 "
30,1,"6,442,450,944","(Z2)^2 x Z536,870,912"
31,,"4,294,967,296","Z2 x Z1,073,741,824"
