Bold Summand,Fermat Summand,m,Structure,Generators
,1+4+8,"13,107",Z2 x Z16 x Z256 ,"< 4370, 193, 5 >"
0,1+4+8,"26,214",Z2 x Z16 x Z256,"< 4625, 193, 5 >"
1,4+8,"17,746",Z2 x Z16 x Z256,"< 4625, 513, 5 >"
2,1+2+8,"30,840",(Z2)^3 x Z4 x Z256,"< 1541, 3599, 4111, 1027, 7 >"
3,2+8,"20,560",Z2 x (Z4)^2 x Z256,"< 3599, 513, 1027, 3 >"
4,1+8,"24,672",(Z2)^2 x Z8 x Z256,"< 4625, 4111, 515, 5 >"
5,8,"16,448",Z2 x Z16 x Z256,"< 7711, 515,  3 >"
6,1+2+4,"32,640",(Z2)^2 x Z4 x Z16 x Z32,"< 4351, 511, 577, 7, 13 >"
7,2+4,"21,760",Z2 x Z4 x Z16 x Z64,"< 511, 577, 31, 3 >"
8,1+4,"26,112",(Z2)^2 x Z16 x Z128,"< 3841, 511, 31, 5 >"
9,4,"17,408",Z2 x Z16 x Z256,"< 511, 65, 3 >"
10,1+2,"30,720",(Z2)^2 x Z4 x Z512 ,"< 5119, 3071, 2047, 11 >"
11,2,"20,480",Z2 x Z4 x Z1024,"< 8191, 1023, 3 >"
12,1,"24,576",(Z2)^2 x Z2048,"< 8191, 4097, 5 >"
13,,"16,384",Z2 x Z4096,"< 8191, 3 >"
