Bold Summand,Fermat Summand,m,Structure
,2+4+16,"5,570,645","Z4 x Z16 x Z65,536"
0,2+4+16,"11,141,290","Z4 x Z16 x Z65,536"
1,1+4+16,"13,369,548","(Z2)^2 x Z16 x Z65,536"
2,4+16,"8,913,032","(Z2)^2 x Z16 x Z65,536"
3,1+2+16,"15,728,880","(Z2)^2 x Z16 x Z65,536"
4,2+16,"10,485,920","Z2 x Z4 x Z8 x Z65,536"
5,1+16,"12,583,104","(Z2)^2 x Z16 x Z65,536"
6,16,"8,388,736","Z2 x Z32 x Z65,536"
7,1+2+4+8,"16,776,960",(Z2)^2 x Z4 x Z16 x Z64 x Z256
8,2+4+8,"11,184,640",Z2 x Z4 x Z16 x Z128 x Z256
9,1+4+8,"13,421,568",(Z2)^2 x Z16 x Z256 x Z256
10,4+8,"8,947,712",Z2 x Z16 x Z256 x Z512
11,1+2+8,"15,790,080",(Z2)^2 x Z4 x Z256 x Z1024
12,2+8,"10,526,720",Z2 x Z4 x Z256 x Z2048
13,1+8,"12,632,064",(Z2)^2 x Z256 x Z4096
14,8,"8,421,376",Z2 x Z256 x Z8192
15,1+2+4,"16,711,680","(Z2)^2 x Z4 x Z16 x Z16,384"
16,2+4,"11,141,120","Z2 x Z4 x Z16 x Z32,768"
17,1+4,"13,369,344","(Z2)^2 x Z16 x Z65,536"
18,4,"8,912,896","Z2 x Z16 x Z131,072"
19,1+2,"15,728,640","(Z2)^2 x Z4 x Z262,144"
20,2,"10,485,760","Z2 x Z4 x Z524,288"
21,1,"12,582,912","(Z2)^2 x Z1,048,576"
22,,"8,388,608","Z2 x Z2,097,152"
